Phase,Dataset,Algorithm,Vectorization,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Average
Stage 2,PROMISE,BiLSTM,MPNet,0.7333333333333333,0.7358490566037735,0.7238095238095238,0.7523809523809524,0.75,0.7390745732255166
Overall,PROMISE,BiLSTM,MPNet,0.7577319587628866,0.7474226804123711,0.7474226804123711,0.8041237113402062,0.7616580310880829,0.7636718124031836
Stage 1,PROMISE,CNN,MPNet,0.5412371134020618,0.5463917525773195,0.5412371134020618,0.5412371134020618,0.538860103626943,0.5417926392820896
Stage 2,PROMISE,CNN,MPNet,0.23809523809523808,0.2358490566037736,0.23809523809523808,0.23809523809523808,0.2403846153846154,0.23810387725482066
Overall,PROMISE,CNN,MPNet,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12953367875647667,0.12899951925644998
Stage 1,PROMISE,DNN,MPNet,0.8865979381443299,0.8762886597938144,0.8814432989690721,0.9278350515463918,0.8911917098445595,0.8926713316596334
Stage 2,PROMISE,DNN,MPNet,0.6571428571428571,0.6698113207547169,0.6952380952380952,0.6666666666666666,0.6826923076923077,0.6743102494989287
Overall,PROMISE,DNN,MPNet,0.7422680412371134,0.7216494845360825,0.7525773195876289,0.7680412371134021,0.7253886010362695,0.7419849367020992
Stage 1,PROMISE,GRU,MPNet,0.8814432989690721,0.8711340206185567,0.8762886597938144,0.9226804123711341,0.8808290155440415,0.8864750814593236
Stage 2,PROMISE,GRU,MPNet,0.6666666666666666,0.6886792452830188,0.7238095238095238,0.7142857142857143,0.7115384615384616,0.7009959223166771
Overall,PROMISE,GRU,MPNet,0.7216494845360825,0.7371134020618557,0.7577319587628866,0.7938144329896907,0.7357512953367875,0.7492121147374606
Stage 1,PROMISE,LSTM,MPNet,0.8814432989690721,0.8762886597938144,0.865979381443299,0.9226804123711341,0.8808290155440415,0.8854441536242721
Stage 2,PROMISE,LSTM,MPNet,0.6666666666666666,0.7169811320754716,0.7142857142857143,0.7142857142857143,0.7019230769230769,0.7028284608473288
Overall,PROMISE,LSTM,MPNet,0.7216494845360825,0.7577319587628866,0.7422680412371134,0.788659793814433,0.7305699481865285,0.7481758453074088
Stage 1,PROMISE,BiCNN,GloVe,0.6597938144329897,0.6701030927835051,0.634020618556701,0.6855670103092784,0.6787564766839378,0.6656482025532824
Stage 2,PROMISE,BiCNN,GloVe,0.24761904761904763,0.2358490566037736,0.23809523809523808,0.23809523809523808,0.2403846153846154,0.24000863915958254
Overall,PROMISE,BiCNN,GloVe,0.36597938144329895,0.31443298969072164,0.4072164948453608,0.4072164948453608,0.35233160621761656,0.36943539340847176
Stage 1,PROMISE,BiLSTM,GloVe,0.845360824742268,0.845360824742268,0.7938144329896907,0.8556701030927835,0.8238341968911918,0.8328080764916403
Stage 2,PROMISE,BiLSTM,GloVe,0.5428571428571428,0.5471698113207547,0.6285714285714286,0.5714285714285714,0.6153846153846154,0.5810823139125026
Overall,PROMISE,BiLSTM,GloVe,0.654639175257732,0.6391752577319587,0.634020618556701,0.6701030927835051,0.6580310880829016,0.6511938464825596
Stage 1,PROMISE,CNN,GloVe,0.5979381443298969,0.634020618556701,0.6082474226804123,0.654639175257732,0.6373056994818653,0.6264302120613215
Stage 2,PROMISE,CNN,GloVe,0.23809523809523808,0.2358490566037736,0.23809523809523808,0.23809523809523808,0.2403846153846154,0.23810387725482066
Overall,PROMISE,CNN,GloVe,0.26804123711340205,0.30412371134020616,0.28350515463917525,0.30412371134020616,0.31088082901554404,0.2941349286897067
